page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
61,529,The Message,https://genius.com/Grandmaster-flash-and-the-furious-five-the-message-lyrics,/Grandmaster-flash-and-the-furious-five-the-message-lyrics,https://images.genius.com/d2c9c2eee08f0216b26d669a82cc4509.600x600x1.jpg,49,50,347,Grandmaster Flash & The Furious Five,https://genius.com/artists/Grandmaster-flash-and-the-furious-five,https://s3.amazonaws.com/rapgenius/1373859871_Grandmaster_Flash_and_The_Furious_Five.jpg
61,374937,New Flame,https://genius.com/Chris-brown-new-flame-lyrics,/Chris-brown-new-flame-lyrics,https://images.genius.com/afdc24e5b1009b86d9e574147dc4a888.1000x1000x1.jpg,21,348,438,Chris Brown,https://genius.com/artists/Chris-brown,https://images.genius.com/ec94d46d35fc8ee8b33a78df6849b7f5.512x512x1.png
61,717927,Higher,https://genius.com/Rihanna-higher-lyrics,/Rihanna-higher-lyrics,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,6,59,89,Rihanna,https://genius.com/artists/Rihanna,https://images.genius.com/6c0a5c21157bafe0dcab934f107020a1.960x960x1.jpg
61,528266,Soul Food,https://genius.com/Logic-soul-food-lyrics,/Logic-soul-food-lyrics,https://images.genius.com/6d3ae39514ef99749706fb3ccdc22dd2.1000x1000x1.jpg,50,220,7922,Logic,https://genius.com/artists/Logic,https://images.genius.com/75b9fd3705271c3c10d64dfb3139caf7.900x900x1.jpg
62,2895849,You Will Be Found,https://genius.com/Original-broadway-cast-of-dear-evan-hansen-you-will-be-found-lyrics,/Original-broadway-cast-of-dear-evan-hansen-you-will-be-found-lyrics,https://images.genius.com/f742c41496381f336af757eb44b04ff8.1000x1000x1.jpg,31,21,1256447,Original Broadway Cast of Dear Evan Hansen,https://genius.com/artists/Original-broadway-cast-of-dear-evan-hansen,https://images.genius.com/87647c1808f153dfa045bf8c0bc33243.620x413x1.jpg
62,2267514,I No Longer Fear The Razor Guarding My Heel,https://genius.com/Uicideboy-i-no-longer-fear-the-razor-guarding-my-heel-lyrics,/Uicideboy-i-no-longer-fear-the-razor-guarding-my-heel-lyrics,https://images.genius.com/eef80c109ed41d75fead92c27129d804.1000x1000x1.png,12,56,213444,$UICIDEBOY$,https://genius.com/artists/Uicideboy,https://images.genius.com/64185e2dfe292933508e131757fa2017.1000x1000x1.jpg
62,3326101,Krippy Kush (Remix),https://genius.com/Rvssian-farruko-and-bad-bunny-krippy-kush-remix-lyrics,/Rvssian-farruko-and-bad-bunny-krippy-kush-remix-lyrics,https://images.genius.com/d80d956080419e89cf75e0fa8b57d03d.1000x1000x1.jpg,12,9,1296456,"Rvssian, Farruko & Bad Bunny",https://genius.com/artists/Rvssian-farruko-and-bad-bunny,https://images.genius.com/f632d95a226b7de73d295c6c08778117.360x360x1.jpg
62,3328979,Loca,https://genius.com/Khea-loca-lyrics,/Khea-loca-lyrics,https://images.genius.com/832c92c961e1e5ccb19d255d5a0cb5ac.1000x563x1.jpg,1,6,1196714,Khea,https://genius.com/artists/Khea,https://images.genius.com/5af3c65fe2f8baff06bd15bfbbb1b64e.558x558x1.jpg
62,181242,Sh!t,https://genius.com/Future-sh-t-lyrics,/Future-sh-t-lyrics,https://images.rapgenius.com/bta1yc6r9bf62739zedxatf1p.600x600x1.jpg,14,61,2197,Future,https://genius.com/artists/Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg
62,2911568,Ordinary Life,https://genius.com/The-weeknd-ordinary-life-lyrics,/The-weeknd-ordinary-life-lyrics,https://images.genius.com/11df0533e8b802fd210dd2bff84acbd5.1000x1000x1.jpg,8,26,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
